Title,URL,Exam_Date,degree,examCode,etype,type,result,grad,Regulation,Is_Supplementary,Exam_Type,Year,Semester
RC/RV B.Tech I Year I Semester (R18) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1852&etype=r17&result=gradercrv&type=rcrvintgrade,19-APRIL-2025,btech,1852,r17,rcrvintgrade,gradercrv,,R18,Yes,Supplementary,I,I
RC/RV B.Tech I Year I Semester (R16) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1853&etype=r17&result=gradercrv&type=rcrvintgrade,19-APRIL-2025,btech,1853,r17,rcrvintgrade,gradercrv,,R16,Yes,Supplementary,I,I
RC/RV B.Tech I Year I Semester (R15) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1854&etype=rcrv,19-APRIL-2025,btech,1854,rcrv,,,,R15,Yes,Supplementary,I,I
RC/RV B.Tech I Year II Semester (R22) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1855&etype=r17&result=gradercrv&type=rcrvintgrade,19-APRIL-2025,btech,1855,r17,rcrvintgrade,gradercrv,,R22,Yes,Supplementary,I,II
RC/RV B.Tech I Year II Semester (R18) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1856&etype=r17&result=gradercrv&type=rcrvintgrade,19-APRIL-2025,btech,1856,r17,rcrvintgrade,gradercrv,,R18,Yes,Supplementary,I,II
RC/RV B.Tech I Year II Semester (R16) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1857&etype=r17&result=gradercrv&type=rcrvintgrade,19-APRIL-2025,btech,1857,r17,rcrvintgrade,gradercrv,,R16,Yes,Supplementary,I,II
RC/RV B.Tech II Year I Semester (R22) Regular Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1833&etype=r17&result=gradercrv&type=rcrvintgrade,19-APRIL-2025,btech,1833,r17,rcrvintgrade,gradercrv,,R22,No,Regular,II,I
RC/RV B.Tech II Year I Semester (R18) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1834&etype=r17&result=gradercrv&type=rcrvintgrade,19-APRIL-2025,btech,1834,r17,rcrvintgrade,gradercrv,,R18,Yes,Supplementary,II,I
RC/RV B.Tech II Year I Semester (R16) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1835&etype=r17&result=gradercrv&type=rcrvintgrade,19-APRIL-2025,btech,1835,r17,rcrvintgrade,gradercrv,,R16,Yes,Supplementary,II,I
RC/RV B.Tech II Year I Semester (R15) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1836&etype=rcrv,19-APRIL-2025,btech,1836,rcrv,,,,R15,Yes,Supplementary,II,I
RC/RV B.Tech II Year II Semester (R22) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1837&etype=r17&result=gradercrv&type=rcrvintgrade,19-APRIL-2025,btech,1837,r17,rcrvintgrade,gradercrv,,R22,Yes,Supplementary,II,II
RC/RV B.Tech II Year II Semester (R18) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1838&etype=r17&result=gradercrv&type=rcrvintgrade,19-APRIL-2025,btech,1838,r17,rcrvintgrade,gradercrv,,R18,Yes,Supplementary,II,II
RC/RV B.Tech II Year II Semester (R16) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1839&etype=r17&result=gradercrv&type=rcrvintgrade,19-APRIL-2025,btech,1839,r17,rcrvintgrade,gradercrv,,R16,Yes,Supplementary,II,II
RC/RV B.Tech II Year II Semester (R15) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1840&etype=rcrv,19-APRIL-2025,btech,1840,rcrv,,,,R15,Yes,Supplementary,II,II
B.Tech IV Year I Semester (R18) Regular Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1858&etype=r17&type=intgrade,27-MAR-2025,btech,1858,r17,intgrade,,,R18,No,Regular,IV,I
B.Tech IV Year I Semester (R16) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1859&etype=r17&type=intgrade,27-MAR-2025,btech,1859,r17,intgrade,,,R16,Yes,Supplementary,IV,I
B.Tech IV Year I Semester (R15) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1860,27-MAR-2025,btech,1860,,,,,R15,Yes,Supplementary,IV,I
B.Tech IV Year I Semester (R18) Minor Degree Program Regular Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1861&etype=r17&type=intgrade,27-MAR-2025,btech,1861,r17,intgrade,,,R18,No,Regular,IV,I
B.Tech I Year I Semester (R22) Regular Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1851&etype=r17&type=intgrade,17-MAR-2025,btech,1851,r17,intgrade,,,R22,No,Regular,I,I
B.Tech I Year I Semester (R18) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1852&etype=r17&type=intgrade,17-MAR-2025,btech,1852,r17,intgrade,,,R18,Yes,Supplementary,I,I
B.Tech I Year I Semester (R16) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1853&etype=r17&type=intgrade,17-MAR-2025,btech,1853,r17,intgrade,,,R16,Yes,Supplementary,I,I
B.Tech I Year (R15) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1854,17-MAR-2025,btech,1854,,,,,R15,Yes,Supplementary,Unknown,Unknown
B.Tech I Year II Semester (R22) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1855&etype=r17&type=intgrade,17-MAR-2025,btech,1855,r17,intgrade,,,R22,Yes,Supplementary,I,II
B.Tech I Year II Semester (R18) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1856&etype=r17&type=intgrade,17-MAR-2025,btech,1856,r17,intgrade,,,R18,Yes,Supplementary,I,II
B.Tech I Year II Semester (R16) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1857&etype=r17&type=intgrade,17-MAR-2025,btech,1857,r17,intgrade,,,R16,Yes,Supplementary,I,II
B.Tech III Year I Semester (R22) Regular Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1841&etype=r17&type=intgrade,03-MAR-2025,btech,1841,r17,intgrade,,,R22,No,Regular,III,I
B.Tech III Year I Semester (R18) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1842&etype=r17&type=intgrade,03-MAR-2025,btech,1842,r17,intgrade,,,R18,Yes,Supplementary,III,I
B.Tech III Year I Semester (R16) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1843&etype=r17&type=intgrade,03-MAR-2025,btech,1843,r17,intgrade,,,R16,Yes,Supplementary,III,I
B.Tech III Year I Semester (R15) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1844,03-MAR-2025,btech,1844,,,,,R15,Yes,Supplementary,III,I
B.Tech III Year I Semester (R22) Minor Degree Program Regular Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1845&etype=r17&type=intgrade,03-MAR-2025,btech,1845,r17,intgrade,,,R22,No,Regular,III,I
B.Tech III Year I Semester (R18) Minor Degree Program Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1846&etype=r17&type=intgrade,03-MAR-2025,btech,1846,r17,intgrade,,,R18,Yes,Supplementary,III,I
