Title,URL,Exam_Date,degree,examCode,etype,type,result,grad,Regulation,Is_Supplementary,Exam_Type,Year,Semester
B.Tech II Year II Semester (R09) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1333,22-FEB-2019,btech,1333,,,,,R09,Yes,Supplementary,II,II
B.Tech III Year II Semester (R15) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1327,22-FEB-2019,btech,1327,,,,,R15,Yes,Supplementary,III,II
B.Tech III Year II Semester (R13) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1328,22-FEB-2019,btech,1328,,,,,R13,Yes,Supplementary,III,II
B.Tech III Year II Semester (R09) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1329,22-FEB-2019,btech,1329,,,,,R09,Yes,Supplementary,III,II
B.Tech I Year I Semester (R18) Regular Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1323&etype=r16&type=grade16,16-FEB-2019,btech,1323,r16,grade16,,,R18,No,Regular,I,I
B.Tech I Year I Semester (R16) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1324&etype=r16&type=grade16,16-FEB-2019,btech,1324,r16,grade16,,,R16,Yes,Supplementary,I,I
I B.Tech. (R13) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1325,16-FEB-2019,btech,1325,,,,,R13,Yes,Supplementary,Unknown,Unknown
I B.Tech. (R09) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1326,16-FEB-2019,btech,1326,,,,,R09,Yes,Supplementary,Unknown,Unknown
B.Tech II Year I Semester (R16) Regular Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1319&etype=r16&type=grade16,08-FEB-2018,btech,1319,r16,grade16,,,R16,No,Regular,II,I
B.Tech II Year I Semester (R15) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1320,08-FEB-2018,btech,1320,,,,,R15,Yes,Supplementary,II,I
B.Tech II Year I Semester (R13) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1321,08-FEB-2018,btech,1321,,,,,R13,Yes,Supplementary,II,I
B.Tech II Year I Semester (R09) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1322,08-FEB-2018,btech,1322,,,,,R09,Yes,Supplementary,II,I
B.Tech III Year I Semester (R16) Regular Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1315&etype=r16&type=grade16,05-FEB-2018,btech,1315,r16,grade16,,,R16,No,Regular,III,I
B.Tech III Year I Semester (R15) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1316,05-FEB-2018,btech,1316,,,,,R15,Yes,Supplementary,III,I
B.Tech III Year I Semester (R13) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1317,05-FEB-2018,btech,1317,,,,,R13,Yes,Supplementary,III,I
B.Tech III Year I Semester (R09) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1318,05-FEB-2018,btech,1318,,,,,R09,Yes,Supplementary,III,I
B.Tech IV Year I Semester (R15) Regular Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1312,24-JAN-2019,btech,1312,,,,,R15,No,Regular,IV,I
B.Tech IV Year I Semester (R13) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1313,24-JAN-2019,btech,1313,,,,,R13,Yes,Supplementary,IV,I
B.Tech IV Year I Semester (R09) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1314,24-JAN-2019,btech,1314,,,,,R09,Yes,Supplementary,IV,I
RCRV B.Tech III Year I Semester (R15) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1293&etype=rcrv,04-SEP-2018,btech,1293,rcrv,,,,R15,Yes,Supplementary,III,I
RCRV B.Tech III Year I Semester (R13) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1294&etype=rcrv,04-SEP-2018,btech,1294,rcrv,,,,R13,Yes,Supplementary,III,I
RCRV B.Tech III Year I Semester (R09) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1295&etype=rcrv,04-SEP-2018,btech,1295,rcrv,,,,R09,Yes,Supplementary,III,I
RCRV B.Tech III Year I Semester (R07) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1296&etype=rcrv,04-SEP-2018,btech,1296,rcrv,,,,R07,Yes,Supplementary,III,I
RCRV B.Tech III Year II Semester (R15) Regular Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1280&etype=rcrv,04-SEP-2018,btech,1280,rcrv,,,,R15,No,Regular,III,II
RCRV B.Tech III Year II Semester (R13) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1281&etype=rcrv,04-SEP-2018,btech,1281,rcrv,,,,R13,Yes,Supplementary,III,II
RCRV B.Tech III Year II Semester (R09) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1282&etype=rcrv,04-SEP-2018,btech,1282,rcrv,,,,R09,Yes,Supplementary,III,II
B.Tech I Year II Semester (R16) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1310&etype=r16&type=grade16,04-SEP-2018,btech,1310,r16,grade16,,,R16,Yes,Supplementary,I,II
I B.Tech. (R15) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1311,04-SEP-2018,btech,1311,,,,,R15,Yes,Supplementary,Unknown,Unknown
RCRV B.Tech IV Year II Semester (R13) Advance Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1307&etype=rcrv,09-AUG-2018,btech,1307,rcrv,,,,R13,Yes,Supplementary,IV,II
RCRV B.Tech IV Year II Semester (R09) Advance Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1308&etype=rcrv,09-AUG-2018,btech,1308,rcrv,,,,R09,Yes,Supplementary,IV,II
RCRV I B.Tech. II Semester (R16) Regular Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1289&etype=r16&result=gradercrv&type=grade16,31-JULY-2018,btech,1289,r16,grade16,gradercrv,,R16,No,Regular,Unknown,Unknown
RCRV B.Tech I Year I Semester (R16) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1302&etype=r16&result=gradercrv&type=grade16,31-JULY-2018,btech,1302,r16,grade16,gradercrv,,R16,Yes,Supplementary,I,I
RCRV I B.Tech. (R15) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1303&etype=rcrv,31-JULY-2018,btech,1303,rcrv,,,,R15,Yes,Supplementary,Unknown,Unknown
RCRV I B.Tech. (R13) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1304&etype=rcrv,31-JULY-2018,btech,1304,rcrv,,,,R13,Yes,Supplementary,Unknown,Unknown
RCRV I B.Tech. (R09) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1305&etype=rcrv,31-JULY-2018,btech,1305,rcrv,,,,R09,Yes,Supplementary,Unknown,Unknown
RCRV I B.Tech. (R07) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1306&etype=rcrv,31-JULY-2018,btech,1306,rcrv,,,,R07,Yes,Supplementary,Unknown,Unknown
B.Tech IV Year II Semester (R13) Advance Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1307,12-JULY-2018,btech,1307,,,,,R13,Yes,Supplementary,IV,II
B.Tech IV Year II Semester (R09) Advance Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1308,12-JULY-2018,btech,1308,,,,,R09,Yes,Supplementary,IV,II
B.Tech IV Year II Semester (R07) Advance Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1309,12-JULY-2018,btech,1309,,,,,R07,Yes,Supplementary,IV,II
B.Tech IV Year I Semester (R13) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1290,07-JULY-2018,btech,1290,,,,,R13,Yes,Supplementary,IV,I
B.Tech IV Year I Semester (R09) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1291,07-JULY-2018,btech,1291,,,,,R09,Yes,Supplementary,IV,I
B.Tech IV Year I Semester (R07) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1292,07-JULY-2018,btech,1292,,,,,R07,Yes,Supplementary,IV,I
B.Tech III Year I Semester (R15) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1293,07-JULY-2018,btech,1293,,,,,R15,Yes,Supplementary,III,I
B.Tech III Year I Semester (R13) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1294,07-JULY-2018,btech,1294,,,,,R13,Yes,Supplementary,III,I
B.Tech III Year I Semester (R09) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1295,07-JULY-2018,btech,1295,,,,,R09,Yes,Supplementary,III,I
B.Tech III Year I Semester (R07) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1296,07-JULY-2018,btech,1296,,,,,R07,Yes,Supplementary,III,I
B.Tech II Year I Semester (R16) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1297&etype=r16&type=grade16,07-JULY-2018,btech,1297,r16,grade16,,,R16,Yes,Supplementary,II,I
B.Tech II Year I Semester (R15) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1298,07-JULY-2018,btech,1298,,,,,R15,Yes,Supplementary,II,I
B.Tech II Year I Semester (R13) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1299,07-JULY-2018,btech,1299,,,,,R13,Yes,Supplementary,II,I
B.Tech II Year I Semester (R09) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1300,07-JULY-2018,btech,1300,,,,,R09,Yes,Supplementary,II,I
B.Tech II Year I Semester (R07) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1301,07-JULY-2018,btech,1301,,,,,R07,Yes,Supplementary,II,I
B.Tech I Year I Semester (R16) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1302&etype=r16&type=grade16,07-JULY-2018,btech,1302,r16,grade16,,,R16,Yes,Supplementary,I,I
I B.Tech. (R15) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1303,07-JULY-2018,btech,1303,,,,,R15,Yes,Supplementary,Unknown,Unknown
I B.Tech. (R13) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1304,07-JULY-2018,btech,1304,,,,,R13,Yes,Supplementary,Unknown,Unknown
I B.Tech. (R09) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1305,07-JULY-2018,btech,1305,,,,,R09,Yes,Supplementary,Unknown,Unknown
I B.Tech. (R07) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1306,07-JULY-2018,btech,1306,,,,,R07,Yes,Supplementary,Unknown,Unknown
I B.Tech. II Semester (R16) Regular Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1289&etype=r16&type=grade16,22-JUN-2018,btech,1289,r16,grade16,,,R16,No,Regular,Unknown,Unknown
II B.Tech. II Semester (R16) Regular Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1284&etype=r16&type=grade16,22-JUN-2018,btech,1284,r16,grade16,,,R16,No,Regular,Unknown,Unknown
B.Tech II Year II Semester (R15) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1285,22-JUN-2018,btech,1285,,,,,R15,Yes,Supplementary,II,II
B.Tech II Year II Semester (R13) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1286,22-JUN-2018,btech,1286,,,,,R13,Yes,Supplementary,II,II
B.Tech II Year II Semester (R09) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1287,22-JUN-2018,btech,1287,,,,,R09,Yes,Supplementary,II,II
B.Tech II Year II Semester (R07) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1288,22-JUN-2018,btech,1288,,,,,R07,Yes,Supplementary,II,II
B.Tech III Year II Semester (R15) Regular Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1280,22-JUN-2018,btech,1280,,,,,R15,No,Regular,III,II
B.Tech III Year II Semester (R13) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1281,22-JUN-2018,btech,1281,,,,,R13,Yes,Supplementary,III,II
B.Tech III Year II Semester (R09) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1282,22-JUN-2018,btech,1282,,,,,R09,Yes,Supplementary,III,II
B.Tech III Year II Semester (R07) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1283,22-JUN-2018,btech,1283,,,,,R07,Yes,Supplementary,III,II
RC/RV B.Pharmacy I Year I Semester (R22) Regular APRIL-2025 Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=1004&etype=r22&result=gradercrv&type=rcrvintgrade,07-AUGUST-2025,bpharmacy,1004,r22,rcrvintgrade,gradercrv,,R22,No,Regular,I,I
RC/RV B.Pharmacy I Year I Semester (R17) Supplementary APRIL-2025 Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=1005&etype=r17&result=gradercrv&type=rcrvintgrade,07-AUGUST-2025,bpharmacy,1005,r17,rcrvintgrade,gradercrv,,R17,Yes,Supplementary,I,I
RC/RV B.Pharmacy I Year (R15) Supplementary APRIL-2025  Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=1006&etype=rcrv,07-AUGUST-2025,bpharmacy,1006,rcrv,,,,R15,Yes,Supplementary,Unknown,Unknown
RC/RV B.Pharmacy I Year II Semester (R22) Supplementary APRIL-2025 Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=1007&etype=r22&result=gradercrv&type=rcrvintgrade,07-AUGUST-2025,bpharmacy,1007,r22,rcrvintgrade,gradercrv,,R22,Yes,Supplementary,I,II
RC/RV B.Pharmacy I Year II Semester (R17) Supplementary APRIL-2025 Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=1008&etype=r17&result=gradercrv&type=rcrvintgrade,07-AUGUST-2025,bpharmacy,1008,r17,rcrvintgrade,gradercrv,,R17,Yes,Supplementary,I,II
RC/RV B.Pharmacy I Year II Semester (R16) Supplementary APRIL-2025 Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=1009&etype=r17&result=gradercrv&type=rcrvintgrade,07-AUGUST-2025,bpharmacy,1009,r17,rcrvintgrade,gradercrv,,R16,Yes,Supplementary,I,II
RC/RV B.Pharmacy II Year I Semester (R22) Regular Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=990&etype=r22&result=gradercrv&type=rcrvintgrade,25-JUNE-2025,bpharmacy,990,r22,rcrvintgrade,gradercrv,,R22,No,Regular,II,I
RC/RV B.Pharmacy II Year I Semester (R17) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=991&etype=r17&result=gradercrv&type=rcrvintgrade,25-JUNE-2025,bpharmacy,991,r17,rcrvintgrade,gradercrv,,R17,Yes,Supplementary,II,I
RC/RV B.Pharmacy II Year I Semester(R15) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=992&etype=rcrv,25-JUNE-2025,bpharmacy,992,rcrv,,,,R15,Yes,Supplementary,II,I
RC/RV B.Pharmacy II Year II Semester (R22) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=993&etype=r22&result=gradercrv&type=rcrvintgrade,25-JUNE-2025,bpharmacy,993,r22,rcrvintgrade,gradercrv,,R22,Yes,Supplementary,II,II
RC/RV B.Pharmacy II Year II Semester (R17) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=994&etype=r17&result=gradercrv&type=rcrvintgrade,25-JUNE-2025,bpharmacy,994,r17,rcrvintgrade,gradercrv,,R17,Yes,Supplementary,II,II
RC/RV B.Pharmacy II Year II Semester (R16) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=995&etype=r17&result=gradercrv&type=rcrvintgrade,25-JUNE-2025,bpharmacy,995,r17,rcrvintgrade,gradercrv,,R16,Yes,Supplementary,II,II
RC/RV B.Pharmacy III Year I Semester (R22) Regular Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=997&etype=r22&result=gradercrv&type=rcrvintgrade,25-JUNE-2025,bpharmacy,997,r22,rcrvintgrade,gradercrv,,R22,No,Regular,III,I
RC/RV B.Pharmacy III Year I Semester (R17) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=998&etype=r17&result=gradercrv&type=rcrvintgrade,25-JUNE-2025,bpharmacy,998,r17,rcrvintgrade,gradercrv,,R17,Yes,Supplementary,III,I
RC/RV B.Pharmacy III Year II Semester (R17) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=1001&etype=r17&result=gradercrv&type=rcrvintgrade,19-JUNE-2025,bpharmacy,1001,r17,rcrvintgrade,gradercrv,,R17,Yes,Supplementary,III,II
RC/RV B.Pharmacy III Year II Semester (R16) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=1002&etype=r17&result=gradercrv&type=rcrvintgrade,19-JUNE-2025,bpharmacy,1002,r17,rcrvintgrade,gradercrv,,R16,Yes,Supplementary,III,II
B.Pharmacy I Year I Semester (R22) Regular Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=1004&etype=r22&type=intgrade,18-JUNE-2025,bpharmacy,1004,r22,intgrade,,,R22,No,Regular,I,I
B.Pharmacy I Year I Semester (R17) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=1005&etype=r17&type=intgrade,18-JUNE-2025,bpharmacy,1005,r17,intgrade,,,R17,Yes,Supplementary,I,I
B.Pharmacy I Year (R15) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=1006,18-JUNE-2025,bpharmacy,1006,,,,,R15,Yes,Supplementary,Unknown,Unknown
B.Pharmacy I Year II Semester (R22) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=1007&etype=r22&type=intgrade,18-JUNE-2025,bpharmacy,1007,r22,intgrade,,,R22,Yes,Supplementary,I,II
B.Pharmacy I Year II Semester (R17) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=1008&etype=r17&type=intgrade,18-JUNE-2025,bpharmacy,1008,r17,intgrade,,,R17,Yes,Supplementary,I,II
B.Pharmacy I Year II Semester (R16) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=1009&etype=r17&type=intgrade,18-JUNE-2025,bpharmacy,1009,r17,intgrade,,,R16,Yes,Supplementary,I,II
B.Pharmacy II Year I Semester (R22) Regular Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=990&etype=r22&type=intgrade,07-MAY-2025,bpharmacy,990,r22,intgrade,,,R22,No,Regular,II,I
B.Pharmacy II Year I Semester (R17) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=991&etype=r17&type=intgrade,07-MAY-2025,bpharmacy,991,r17,intgrade,,,R17,Yes,Supplementary,II,I
B.Pharmacy II Year I Semester (R15) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=992,07-MAY-2025,bpharmacy,992,,,,,R15,Yes,Supplementary,II,I
B.Pharmacy II Year II Semester (R22) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=993&etype=r22&type=intgrade,07-MAY-2025,bpharmacy,993,r22,intgrade,,,R22,Yes,Supplementary,II,II
B.Pharmacy II Year II Semester (R17) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=994&etype=r17&type=intgrade,07-MAY-2025,bpharmacy,994,r17,intgrade,,,R17,Yes,Supplementary,II,II
B.Pharmacy II Year II Semester (R16) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=995&etype=r17&type=intgrade,07-MAY-2025,bpharmacy,995,r17,intgrade,,,R16,Yes,Supplementary,II,II
B.Pharmacy II Year II Semester (R15) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=996,07-MAY-2025,bpharmacy,996,,,,,R15,Yes,Supplementary,II,II
B.Pharmacy III Year I Semester (R22) Regular Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=997&etype=r22&type=intgrade,03-MAY-2025,bpharmacy,997,r22,intgrade,,,R22,No,Regular,III,I
B.Pharmacy III Year I Semester (R17) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=998&etype=r17&type=intgrade,03-MAY-2025,bpharmacy,998,r17,intgrade,,,R17,Yes,Supplementary,III,I
B.Pharmacy III Year I Semester (R16) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=999&etype=r17&type=intgrade,03-MAY-2025,bpharmacy,999,r17,intgrade,,,R16,Yes,Supplementary,III,I
B.Pharmacy III Year I Semester (R15) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=1000,03-MAY-2025,bpharmacy,1000,,,,,R15,Yes,Supplementary,III,I
B.Pharmacy III Year II Semester (R17) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=1001&etype=r17&type=intgrade,03-MAY-2025,bpharmacy,1001,r17,intgrade,,,R17,Yes,Supplementary,III,II
B.Pharmacy III Year II Semester (R16) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=1002&etype=r17&type=intgrade,03-MAY-2025,bpharmacy,1002,r17,intgrade,,,R16,Yes,Supplementary,III,II
B.Pharmacy III Year II Semester (R15) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=1003,03-MAY-2025,bpharmacy,1003,,,,,R15,Yes,Supplementary,III,II
RC/RV B.Pharmacy IV Year I Semester (R17) Regular Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=987&etype=r17&result=gradercrv&type=rcrvintgrade,19-APRIL-2025,bpharmacy,987,r17,rcrvintgrade,gradercrv,,R17,No,Regular,IV,I
B.Pharmacy IV Year I Semester (R17) Regular Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=987&etype=r17&type=intgrade,19-MAR-2025,bpharmacy,987,r17,intgrade,,,R17,No,Regular,IV,I
B.Pharmacy IV Year I Semester (R16) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=988&etype=r17&type=intgrade,19-MAR-2025,bpharmacy,988,r17,intgrade,,,R16,Yes,Supplementary,IV,I
B.Pharmacy IV Year I Semester (R15) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=989,19-MAR-2025,bpharmacy,989,,,,,R15,Yes,Supplementary,IV,I
RC/RV B.Pharmacy III Year II Semester (R17) Regular Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=961&etype=r17&result=gradercrv&type=rcrvintgrade,30-NOV-2024,bpharmacy,961,r17,rcrvintgrade,gradercrv,,R17,No,Regular,III,II
RC/RV B.Pharmacy III Year II Semester (R16) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=962&etype=r17&result=gradercrv&type=rcrvintgrade,30-NOV-2024,bpharmacy,962,r17,rcrvintgrade,gradercrv,,R16,Yes,Supplementary,III,II
RC/RV B.Pharmacy III Year II Semester (R15) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=963&etype=rcrv,30-NOV-2024,bpharmacy,963,rcrv,,,,R15,Yes,Supplementary,III,II
RC/RV B.Pharmacy III Year II Semester (R13) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=964&etype=rcrv,30-NOV-2024,bpharmacy,964,rcrv,,,,R13,Yes,Supplementary,III,II
RC/RV B.Pharmacy I Year I Semester (R22) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=972&etype=r22&result=gradercrv&type=rcrvintgrade,30-NOV-2024,bpharmacy,972,r22,rcrvintgrade,gradercrv,,R22,Yes,Supplementary,I,I
RC/RV B.Pharmacy I Year I Semester (R17) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=973&etype=r17&result=gradercrv&type=rcrvintgrade,30-NOV-2024,bpharmacy,973,r17,rcrvintgrade,gradercrv,,R17,Yes,Supplementary,I,I
